N,P,K,temperature,humidity,ph,rainfall,label
81.99,48.27,40.65,24.66,78.52,6.84,238.36,rice
79.45,45.24,39.23,24.07,80.97,6.2,239.27,rice
82.59,48.9,38.65,23.76,81.16,6.29,229.58,rice
86.09,46.56,41.22,24.07,80.03,6.42,238.19,rice
79.06,47.3,42.06,22.41,81.6,6.3,238.77,rice
79.06,46.56,41.86,23.82,82.99,6.09,229.26,rice
86.32,52.45,38.32,24.29,86.64,6.41,253.61,rice
83.07,47.97,39.38,25.18,82.43,6.19,240.47,rice
78.12,45.46,40.66,23.59,82.63,6.49,224.75,rice
82.17,49.97,41.95,23.35,81.82,6.22,242.2,rice
78.15,45.07,39.04,23.6,77.28,6.71,226.8,rice
78.14,48.5,39.63,24.73,81.93,6.24,243.43,rice
80.97,43.3,37.79,24.26,82.15,6.34,246.94,rice
72.35,44.81,37.61,23.58,88.06,6.56,228.25,rice
73.1,48.47,41.63,24.41,81.53,6.15,245.09,rice
77.75,49.77,42.71,24.08,82.74,6.45,239.9,rice
75.95,48.41,39.86,24.77,81.91,6.66,243.76,rice
81.26,47.72,42.01,23.44,79.13,6.08,253.91,rice
76.37,47.28,40.72,23.74,84.81,6.44,233.68,rice
74.35,44.45,38.71,23.69,83.85,6.45,228.88,rice
85.86,46.27,40.72,22.83,83.95,6.56,227.6,rice
79.1,46.89,43.08,24.24,79.76,6.15,228.3,rice
80.27,50.54,39.93,24.21,85.45,6.14,235.27,rice
74.3,48.82,43.13,24.0,78.55,6.5,239.22,rice
77.82,43.77,34.76,23.81,83.44,6.46,238.61,rice
88.52,40.72,36.91,17.49,55.76,6.63,71.36,wheat
85.06,41.12,35.11,19.23,55.33,6.69,78.47,wheat
91.18,42.17,33.11,20.2,54.01,6.95,77.37,wheat
83.88,42.11,33.75,19.33,55.12,6.92,76.87,wheat
96.56,37.24,36.19,17.28,54.36,6.8,76.89,wheat
87.66,38.12,33.72,18.11,55.19,6.82,74.96,wheat
81.36,41.03,35.38,19.51,56.09,7.06,72.31,wheat
80.45,41.03,35.08,17.93,57.62,6.68,75.23,wheat
87.05,41.03,33.86,18.86,52.96,6.91,72.97,wheat
84.05,47.71,38.75,19.12,58.52,6.76,77.93,wheat
88.03,41.14,36.11,17.76,51.78,6.76,74.56,wheat
87.01,42.27,31.46,18.45,54.75,7.02,72.52,wheat
84.69,41.91,35.33,15.91,55.97,6.97,74.04,wheat
81.4,41.3,33.84,17.68,55.46,6.96,76.24,wheat
78.56,39.37,36.49,18.3,53.97,7.06,73.31,wheat
83.1,41.52,33.61,17.5,54.66,6.8,72.53,wheat
88.64,38.45,34.8,19.81,54.19,6.94,75.73,wheat
85.91,39.53,35.88,17.36,54.03,6.74,75.73,wheat
79.71,39.03,36.52,18.15,56.4,6.86,73.48,wheat
85.74,40.16,32.9,18.6,55.59,6.77,73.59,wheat
86.64,44.63,34.41,19.65,53.86,6.82,75.7,wheat
81.24,36.27,34.17,17.35,56.48,6.92,70.66,wheat
85.65,41.37,33.86,19.43,55.51,6.64,70.78,wheat
85.25,36.77,38.09,18.51,56.34,7.22,72.84,wheat
80.14,39.06,35.71,17.71,56.04,6.6,74.36,wheat
79.21,46.16,17.61,23.49,64.88,6.15,88.15,maize
83.75,50.09,19.1,21.63,66.86,6.32,91.49,maize
81.34,48.44,20.01,22.95,63.08,6.26,80.24,maize
77.38,53.26,20.07,23.25,65.98,6.82,86.91,maize
77.93,46.06,19.32,20.99,63.97,6.42,82.79,maize
74.09,45.98,20.93,21.45,63.45,6.17,83.34,maize
77.93,46.56,18.4,20.77,64.79,6.01,82.99,maize
76.87,42.9,19.79,22.18,62.98,5.88,82.06,maize
79.26,46.74,20.18,22.97,63.92,6.24,85.16,maize
74.77,46.18,20.77,23.6,62.66,6.05,82.17,maize
80.03,48.36,21.07,22.46,68.83,5.92,85.92,maize
83.98,48.82,18.31,23.7,65.07,6.07,84.83,maize
77.58,52.5,17.7,21.3,63.64,5.98,84.19,maize
79.57,50.28,21.92,21.04,65.42,6.54,81.91,maize
80.69,46.62,20.5,22.36,64.78,6.38,83.04,maize
76.44,45.84,18.88,22.71,64.57,6.2,87.57,maize
78.87,49.18,22.33,22.37,66.2,6.5,86.7,maize
78.05,44.83,20.17,20.75,66.48,6.22,81.68,maize
78.38,52.4,21.77,22.33,63.97,6.03,85.34,maize
74.99,50.83,20.1,21.36,63.88,6.5,87.55,maize
78.1,46.87,23.09,22.94,64.46,6.31,79.32,maize
79.94,43.89,22.63,22.69,60.51,5.99,86.85,maize
83.66,51.25,19.63,21.65,62.05,6.16,82.75,maize
81.74,47.73,21.46,21.99,67.67,6.02,86.94,maize
86.4,50.97,20.97,21.55,68.21,5.92,82.4,maize
59.13,35.15,26.68,18.11,51.2,7.57,53.06,barley
59.71,34.73,30.35,16.76,50.46,7.43,52.22,barley
65.16,37.04,31.16,18.2,51.8,7.15,59.38,barley
65.84,35.45,27.78,18.58,52.09,6.98,57.34,barley
62.06,35.59,31.72,17.83,53.71,7.71,58.18,barley
67.08,34.28,30.51,19.0,49.36,7.21,56.8,barley
59.6,34.15,29.38,16.88,54.39,7.2,52.18,barley
64.79,34.24,30.95,16.5,51.75,7.2,53.69,barley
61.06,35.69,33.41,16.08,51.33,7.24,56.22,barley
62.88,34.26,30.27,18.7,50.42,7.17,51.94,barley
65.15,35.51,30.37,18.02,49.42,7.09,56.78,barley
62.2,38.63,29.31,17.46,53.28,7.09,54.4,barley
63.75,36.52,28.73,17.72,52.11,7.19,54.06,barley
68.27,34.43,31.25,16.6,49.99,7.09,56.78,barley
63.13,37.1,28.72,19.46,49.98,7.06,56.11,barley
67.72,34.29,30.11,17.6,51.48,7.22,54.1,barley
61.33,31.43,29.28,17.59,54.6,7.15,57.9,barley
66.72,33.24,30.72,18.08,51.6,7.5,52.3,barley
69.69,31.73,30.5,17.88,49.66,6.67,56.54,barley
56.97,34.38,31.56,17.68,51.62,7.42,56.48,barley
62.41,35.03,29.23,16.87,51.57,7.45,54.23,barley
66.88,37.93,29.6,17.88,47.79,6.79,55.82,barley
64.34,35.57,28.53,19.01,51.92,7.13,51.87,barley
66.21,34.62,29.33,18.58,51.64,7.13,57.31,barley
63.04,36.45,30.57,18.77,53.09,6.92,54.54,barley
68.17,37.65,33.38,15.24,61.69,6.79,68.26,oats
73.67,38.04,32.63,15.92,59.07,6.82,68.44,oats
67.53,38.66,33.29,16.3,60.17,6.4,68.22,oats
65.07,36.97,36.84,16.44,59.17,6.42,73.33,oats
64.55,36.52,33.34,17.0,59.22,6.44,73.98,oats
72.12,38.37,39.61,16.64,59.44,6.23,68.4,oats
65.52,36.14,35.86,15.43,60.4,6.32,67.67,oats
76.14,38.78,35.32,16.8,59.14,6.3,71.32,oats
62.71,34.77,33.5,16.99,62.26,6.35,68.45,oats
75.94,39.96,36.23,16.95,58.39,6.49,71.77,oats
70.74,38.9,33.99,17.36,59.66,6.55,70.57,oats
69.66,38.49,35.21,17.17,59.21,6.81,65.76,oats
68.09,39.87,39.48,16.87,62.6,6.3,74.33,oats
71.4,41.16,34.83,16.44,60.35,6.7,75.03,oats
69.87,39.93,37.01,15.17,61.86,6.46,68.28,oats
73.86,34.5,33.77,16.84,57.33,6.49,68.91,oats
70.4,35.57,34.94,16.67,60.48,6.63,70.8,oats
70.53,36.81,38.1,16.72,61.6,6.28,70.94,oats
68.73,38.05,33.9,15.48,60.15,6.58,71.84,oats
69.8,38.98,38.17,15.64,61.92,6.53,75.63,oats
71.08,36.62,36.24,17.34,59.07,6.6,69.5,oats
64.01,38.35,34.02,16.47,62.54,6.56,67.76,oats
65.28,36.56,36.11,17.05,64.14,6.99,66.14,oats
72.6,36.84,36.7,16.52,59.35,6.37,67.95,oats
70.6,35.33,36.09,16.52,59.2,6.39,69.91,oats
81.73,35.65,27.72,26.31,47.17,7.08,61.09,sorghum
73.06,34.31,29.16,26.78,49.32,6.98,60.1,sorghum
75.84,35.05,30.57,25.5,46.36,6.81,60.3,sorghum
74.94,37.24,32.35,27.66,47.62,6.67,61.53,sorghum
79.46,35.33,29.9,26.43,51.14,6.94,57.44,sorghum
84.48,35.08,29.17,27.39,51.18,6.88,59.36,sorghum
73.01,32.62,32.82,26.77,50.64,6.98,55.83,sorghum
73.16,36.31,27.83,26.87,48.55,6.93,61.0,sorghum
78.92,36.13,26.7,26.96,49.93,7.01,61.62,sorghum
77.56,38.79,30.66,26.86,49.99,6.69,58.79,sorghum
81.93,34.46,29.25,27.01,48.26,7.06,63.93,sorghum
77.19,35.38,28.47,27.56,52.26,6.84,56.94,sorghum
73.65,35.44,31.06,26.66,51.32,7.22,56.34,sorghum
77.21,37.76,30.37,27.07,49.67,6.66,60.56,sorghum
79.16,34.83,29.15,26.43,50.04,7.15,62.62,sorghum
78.08,35.49,28.08,27.65,50.31,6.84,64.21,sorghum
76.9,36.06,31.31,25.96,46.94,6.67,58.85,sorghum
79.0,35.33,30.98,27.94,49.63,6.7,62.7,sorghum
79.38,34.22,29.85,26.47,48.98,6.74,59.9,sorghum
80.18,35.34,32.77,25.36,48.5,6.88,59.57,sorghum
77.43,36.88,28.39,26.6,49.58,6.9,62.21,sorghum
74.37,33.2,27.71,25.96,52.7,6.69,61.63,sorghum
75.55,35.23,28.96,27.17,50.96,6.8,56.06,sorghum
79.52,33.77,29.93,25.98,49.14,7.23,63.69,sorghum
